faa,name,lat,lon,alt,tz,dst,tzone,state
04G,Lansdowne Airport,41.1304722,-80.6195833,1044,-5,A,America/New_York,ohio
06A,Moton Field Municipal Airport,32.4605722,-85.6800278,264,-6,A,America/Chicago,alabama
06C,Schaumburg Regional,41.9893408,-88.1012428,801,-6,A,America/Chicago,illinois
06N,Randall Airport,41.431912,-74.3915611,523,-5,A,America/New_York,new york
09J,Jekyll Island Airport,31.744722,-81.4277778,11,-5,A,America/New_York,georgia
0A9,Elizabethton Municipal Airport,36.3712222,-82.1734167,1593,-5,A,America/New_York,tennessee
0G6,Williams County Airport,41.4673056,-84.5067778,730,-5,A,America/New_York,ohio
0G7,Finger Lakes Regional Airport,42.8835647,-76.7812318,492,-5,A,America/New_York,new york
0P2,Shoestring Aviation Airfield,39.7948244,-76.6471914,1000,-5,U,America/New_York,pennsylvania
0S9,Jefferson County Intl,48.538086,-122.8106436,108,-8,A,America/Los_Angeles,washington
0W3,Harford County Airport,39.5668378,-76.2024028,409,-5,A,America/New_York,maryland
10C,Galt Field Airport,42.4028889,-88.3751111,875,-6,U,America/Chicago,illinois
17G,Port Bucyrus-Crawford County Airport,40.7815556,-82.9748056,1003,-5,A,America/New_York,ohio
19A,Jackson County Airport,34.1758638,-83.5615972,951,-5,U,America/New_York,georgia
1A3,Martin Campbell Field Airport,35.158056,-84.3468333,1789,-5,A,America/New_York,tennessee
1B9,Mansfield Municipal,42.1331,-71.1967714,122,-5,A,America/New_York,missouri
1C9,Frazier Lake Airpark,54.133333333333,-124.7683333,152,-8,A,America/Vancouver,california
1CS,Clow International Airport,41.6959744,-88.1292306,670,-6,U,America/Chicago,illinois
1G3,Kent State Airport,41.1513889,-81.4151111,1134,-5,A,America/New_York,ohio
1G4,Grand Canyon West Airport,35.899904,-113.815674,4813,-7,A,America/Phoenix,arizona
1H2,Effingham Memorial Airport,39.7,-88.534,585,-6,A,America/Chicago,illinois
1OH,Fortman Airport,40.5553253,-84.3866186,885,-5,U,America/New_York,ohio
1RL,Point Roberts Airpark,48.9797222,-123.0788889,10,-8,A,America/Los_Angeles,washington
23M,Clarke CO,32.517,-88.4434,320,-6,A,America/Chicago,mississippi
24C,Lowell City Airport,42.95392,-85.3439058,681,-5,A,America/New_York,michigan
24J,Suwannee County Airport,30.300125,-83.0246944,104,-5,A,America/New_York,florida
25D,Forest Lake Airport,45.2477456,-92.9943853,925,-6,A,America/Chicago,minnesota
29D,Grove City Airport,41.1460278,-80.16775,1371,-5,A,America/New_York,pennsylvania
2A0,Mark Anton Airport,35.48625,-84.9310833,718,-5,A,America/New_York,tennessee
2B2,Plum Island Airport,42.7953611,-70.8394444,11,-5,A,America/New_York,massachusetts
2G2,Jefferson County Airpark,40.3602179,-80.7008742,1196,-5,A,America/New_York,ohio
2G9,Somerset County Airport,40.388708,-79.0149951,2275,-5,A,America/New_York,pennsylvania
2H0,Shelby County Airport,39.410556,-88.845556,550,-6,A,America/Chicago,illinois
2J9,Quincy Municipal Airport,30.5978708,-84.557425,225,-5,A,America/New_York,florida
369,Atmautluak Airport,60.866667,-162.273056,18,-9,A,America/Anchorage,alaska
36U,Heber City Municipal Airport,40.4818056,-111.4288056,5637,-7,A,America/Denver,utah
38W,Lynden Airport,48.9558961,-122.4581183,106,-8,A,America/Los_Angeles,washington
3D2,Ephraim-Gibraltar Airport,45.1354167,-87.1879444,773,-6,A,America/Chicago,wisconsin
3G3,Wadsworth Municipal,41.31572,-81.7564401,974,-5,A,America/New_York,ohio
3G4,Ashland County Airport,40.9029722,-82.2556389,1206,-5,A,America/New_York,ohio
3J1,Ridgeland Airport,32.4934167,-80.99175,79,-5,A,America/New_York,south carolina
3W2,Put-in-Bay Airport,41.3521,-82.497,595,-5,A,America/New_York,ohio
40J,Perry-Foley Airport,30.692778,-83.5805833,44,-5,A,America/New_York,florida
41N,Braceville Airport,41.2111675,-80.9692572,900,-5,A,America/New_York,ohio
47A,Cherokee County Airport,34.3122175,-84.4221556,1219,-5,A,America/New_York,georgia
49A,Gilmer County Airport,34.6282222,-84.5265833,1486,-5,A,America/New_York,georgia
49X,Chemehuevi Valley,34.528889,-114.431971,638,-8,A,America/Los_Angeles,california
4A4,Polk County Airport - Cornelius Moore Field,34.186944,-85.1464722,974,-5,A,America/New_York,georgia
4A7,Clayton County Tara Field,33.389099,-84.332397,874,-5,A,America/New_York,georgia
4A9,Isbell Field Airport,34.4736944,-85.7213889,877,-6,A,America/Chicago,alabama
4B8,Robertson Field,41.6893333,-72.8646944,202,-5,A,America/New_York,connecticut
4G0,Pittsburgh-Monroeville Airport,40.4526389,-79.7749167,1187,-5,A,America/New_York,pennsylvania
4G2,Hamburg Inc Airport,42.7008925,-78.9147569,751,-5,A,America/New_York,new york
4G4,Youngstown Elser Metro Airport,40.9617953,-80.6773264,1070,-5,A,America/New_York,pennsylvania
4I7,Putnam County Airport,39.6335556,-86.8138056,842,-5,U,America/New_York,indiana
4U9,Dell Flight Strip,44.7357483,-112.7200133,6007,-7,A,America/Denver,montana
52A,Madison GA Municipal Airport,33.612125,-83.4604444,694,-5,A,America/New_York,georgia
54J,DeFuniak Springs Airport,30.7311111,-86.1537778,289,-6,A,America/Chicago,florida
55J,Fernandina Beach Municipal Airport,30.6118333,-81.4611944,16,-5,A,America/New_York,florida
55S,Packwood,46.3625,-121.4067,1057,-8,A,America/Los_Angeles,washington
57C,East Troy Municipal Airport,42.7971667,-88.3726111,860,-6,A,America/Chicago,wisconsin
5B2,Saratoga County Airport,43.50722,-73.861638,433,-5,A,America/New_York,new york
60J,Ocean Isle Beach Airport,33.9085056,-78.4366722,32,-5,U,America/New_York,north carolina
6A2,Griffin-Spalding County Airport,33.2269722,-84.2749444,958,-5,A,America/New_York,georgia
6J4,Saluda County,33.5561,-81.4768,539,-5,A,America/New_York,south carolina
6K8,Tok Junction Airport,63.329444,-142.953611,1639,-9,A,America/Anchorage,alaska
6S0,Big Timber Airport,45.8063889,-109.9811111,4492,-7,A,America/Denver,montana
6S2,Florence,43.9828168,-124.1113687,51,-8,A,America/Los_Angeles,oregon
6Y8,Welke Airport,45.721111,-85.520278,664,-5,A,America/New_York,michigan
70J,Cairo-Grady County Airport,30.8879767,-84.1547353,265,-5,A,America/New_York,georgia
70N,Spring Hill Airport,41.3473569,-75.4158972,1729,-5,A,America/New_York,pennsylvania
7A4,Foster Field,42.4664444,-90.1693889,990,-6,A,America/Chicago,virginia
7D9,Germack Airport,41.7778322,-80.9039797,820,-5,A,America/New_York,ohio
7N7,Spitfire Aerodrome,39.7355633,-75.3977211,40,-5,A,America/New_York,maryland
8M8,Garland Airport,44.8065278,-84.2761944,1218,-5,A,America/New_York,michigan
93C,Richland Airport,43.2833575,-90.2982819,742,-6,A,America/Chicago,wisconsin
99N,Bamberg County Airport,33.3045278,-81.1084167,231,-5,A,America/New_York,south carolina
9A1,Covington Municipal Airport,33.6323083,-83.8474472,809,-5,A,America/New_York,georgia
9A5,Barwick Lafayette Airport,34.6884792,-85.2903319,777,-5,A,America/New_York,georgia
9G1,Rock Airport,40.6035463,-79.8261189,1063,-5,A,America/New_York,pennsylvania
A39,Phoenix Regional Airport,32.99169921875,-111.9209976,1300,-7,A,America/Phoenix,arizona
A50,Colorado Springs East,38.87,-104.41,6145,-7,A,America/Denver,colorado
AAF,Apalachicola Regional Airport,29.7276066,-85.0274416,20,-5,A,America/New_York,florida
AAP,Andrau Airport,29.43,-95.35,80,-6,A,America/Chicago,texas
ABE,Lehigh Valley Intl,40.652083,-75.440806,393,-5,A,America/New_York,pennsylvania
ABI,Abilene Rgnl,32.411319,-99.681897,1791,-6,A,America/Chicago,texas
ABL,Ambler Airport,67.106389,-157.8575,334,-9,A,America/Anchorage,alaska
ABQ,Albuquerque International Sunport,35.402222,-106.6091944,5355,-7,A,America/Denver,new mexico
ABR,Aberdeen Regional Airport,45.4491,-98.4218,1302,-6,A,America/Chicago,south dakota
ABY,Southwest Georgia Regional Airport,31.5355,-84.1945,197,-5,A,America/New_York,georgia
ACJ,Jimmy Carter Regional,32.665,-84.1133,468,-5,A,America/New_York,georgia
ACK,Nantucket Mem,41.253053,-70.060181,48,-5,A,America/New_York,massachusetts
ACT,Waco Rgnl,31.611289,-97.230519,516,-6,A,America/Chicago,texas
ACV,Arcata,40.978111,-124.108611,221,-8,A,America/Los_Angeles,california
ACY,Atlantic City Intl,39.457583,-74.577167,75,-5,A,America/New_York,new jersey
ADK,Adak Airport,51.878,-176.646,18,-9,A,America/Anchorage,alaska
ADM,Ardmore Muni,34.300833,-97.008889,762,-6,A,America/Chicago,oklahoma
ADQ,Kodiak,57.749967,-152.493856,78,-9,A,America/Anchorage,alaska
ADS,Addison,32.9685594,-96.8364478,644,-6,A,America/Chicago,texas
ADW,Andrews Afb,38.810806,-76.867028,280,-5,A,America/New_York,maryland
AET,Allakaket Airport,66.5519,-152.6222,441,-9,A,America/Anchorage,alaska
AEX,Alexandria Intl,31.3274,-92.549833,89,-6,A,America/Chicago,louisiana
AFE,Kake Airport,56.961389,-133.910278,172,-9,A,America/Anchorage,alaska
AFW,Fort Worth Alliance Airport,32.987778,-97.318889,722,-6,A,America/Chicago,texas
AGC,Allegheny County Airport,40.3544,-79.9302,1252,-5,A,America/New_York,pennsylvania
AGN,Angoon Seaplane Base,57.503611,-134.585,0,-9,A,America/Anchorage,alaska
AGS,Augusta Rgnl At Bush Fld,33.369944,-81.9645,144,-5,A,America/New_York,georgia
AHN,Athens Ben Epps Airport,33.9486,-83.3263,808,-5,A,America/New_York,georgia
AIA,Alliance Municipal Airport,42.53333,-102.803889,3931,-7,A,America/Denver,nebraska
AIK,Municipal Airport,33.6493889,-81.6850278,529,-5,A,America/New_York,south carolina
AIN,Wainwright Airport,70.638056,-159.994722,41,-9,A,America/Anchorage,alaska
AIZ,Lee C Fine Memorial Airport,38.96035,-92.5494875,869,-6,A,America/Chicago,missouri
AKB,Atka Airport,52.220278,-174.206389,56,-9,A,America/Anchorage,alaska
AKC,Akron Fulton Intl,41.375,-81.466917,1067,-5,A,America/New_York,ohio
AKI,Akiak Airport,60.902778,-161.230556,30,-9,A,America/Anchorage,alaska
AKK,Akhiok Airport,56.938611,-154.1825,44,-9,A,America/Anchorage,alaska
AKN,King Salmon,58.676778,-156.649278,68,-9,A,America/Anchorage,alaska
AKP,Anaktuvuk Pass Airport,68.1336,-151.743,2103,-9,A,America/Anchorage,alaska
ALB,Albany Intl,42.748267,-73.801692,285,-5,A,America/New_York,new york
ALI,Alice Intl,27.740889,-98.026944,178,-6,A,America/Chicago,texas
ALM,Alamogordo White Sands Regional Airport,32.8399,-105.991,4200,-7,A,America/Denver,new mexico
ALO,Waterloo Regional Airport,42.5571,-92.4003,873,-6,A,America/Chicago,iowa
ALS,San Luis Valley Regional Airport,37.435,-105.866667,7539,-7,A,America/Denver,colorado
ALW,Walla Walla Regional Airport,46.949,-118.288,1191,-8,A,America/Los_Angeles,washington
ALX,Alexandria,38.806346,-77.0621,1,-5,A,America/New_York,alabama
ALZ,Alitak Seaplane Base,56.899444,-154.247778,0,-9,A,America/Anchorage,alaska
AMA,Rick Husband Amarillo Intl,35.219369,-101.705931,3607,-6,A,America/Chicago,texas
ANB,Anniston Metro,33.588167,-85.858111,612,-6,A,America/Chicago,alabama
ANC,Ted Stevens Anchorage Intl,61.174361,-149.996361,152,-9,A,America/Anchorage,alaska
AND,Anderson Rgnl,34.494583,-82.709389,782,-5,A,America/New_York,south carolina
ANI,Aniak Airport,61.5816,-159.543,88,-9,A,America/Anchorage,alaska
ANN,Annette Island,55.42436,-131.572233,119,-9,A,America/Anchorage,alaska
ANP,Lee Airport,38.942778,-76.568333,34,-5,A,America/New_York,maryland
ANQ,Tri-State Steuben County Airport,41.6396983,-85.0834933,995,-5,A,America/New_York,indiana
ANV,Anvik Airport,62.6467,-160.191,309,-9,A,America/Anchorage,alaska
AOH,Lima Allen County Airport,40.707478,-84.0270781,975,-5,A,America/New_York,ohio
AOO,Altoona Blair Co,40.296372,-78.320022,1504,-5,A,America/New_York,pennsylvania
AOS,Amook Bay Seaplane Base,57.471389,-153.815278,0,-9,A,America/Anchorage,alaska
APA,Centennial,39.570129,-104.849294,5883,-7,A,America/Denver,colorado
APC,Napa County Airport,38.2131944,-122.2806944,35,-8,A,America/Los_Angeles,california
APF,Naples Muni,26.152619,-81.775294,8,-5,A,America/New_York,florida
APG,Phillips Aaf,39.466219,-76.168808,57,-5,A,America/New_York,maryland
APN,Alpena County Regional Airport,45.781,-83.5603,689,-5,A,America/New_York,michigan
AQC,Klawock Seaplane Base,55.554658,-133.101693,0,-9,A,America/Anchorage,alaska
ARA,Acadiana Rgnl,30.37758,-91.883896,24,-6,A,America/Chicago,louisiana
ARB,Ann Arbor Municipal Airport,42.132274,-83.444418,839,-5,A,America/New_York,michigan
ARC,Arctic Village Airport,68.1147,-145.579,2092,-9,A,America/Anchorage,alaska
ART,Watertown Intl,43.991922,-76.021739,325,-5,A,America/New_York,new york
ARV,Lakeland,45.927778,-89.730833,1629,-6,A,America/Chicago,wisconsin
ASE,Aspen Pitkin County Sardy Field,39.2232,-106.869,7820,-7,A,America/Denver,colorado
ASH,Boire Field Airport,42.78175,-71.5147778,199,-5,A,America/New_York,new hampshire
AST,Astoria Regional Airport,46.157972,-123.878694,15,-8,A,America/Los_Angeles,oregon
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436,96,-9,A,America/Anchorage,alaska
ATL,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,1026,-5,A,America/New_York,georgia
ATT,Camp Mabry Austin City,30.31666,-97.7666,0,-6,A,America/Chicago,texas
ATW,Appleton,44.257526,-88.507576,680,-6,A,America/Chicago,wisconsin
ATY,Watertown Regional Airport,44.914,-97.1547,1748,-6,A,America/Chicago,south dakota
AUG,Augusta State,44.320647,-69.797317,352,-5,A,America/New_York,maine
AUK,Alakanuk Airport,62.68,-164.66,10,-9,A,America/Anchorage,alaska
AUO,Auburn University Regional,32.3691,-85.2604,777,-6,A,America/Chicago,alabama
AUS,Austin Bergstrom Intl,30.194528,-97.669889,542,-6,A,America/Chicago,texas
AUW,Wausau Downtown Airport,44.9262845,-89.6270018,1201,-6,U,America/Chicago,wisconsin
AVL,Asheville Regional Airport,35.436194,-82.541806,2165,-5,A,America/New_York,north carolina
AVO,Executive,27.591389,-81.528889,160,-5,A,America/New_York,florida
AVP,Wilkes Barre Scranton Intl,41.338478,-75.723403,962,-5,A,America/New_York,pennsylvania
AVW,Marana Regional,32.409556,-111.218388,2031,-7,U,America/Phoenix,arizona
AVX,Avalon,33.405,-118.415833,1602,-8,A,America/Los_Angeles,california
AZA,Phoenix-Mesa Gateway,33.307833,-111.655,1382,-7,N,America/Phoenix,arizona
AZO,Kalamazoo,42.234875,-85.552058,874,-5,A,America/New_York,michigan
BAB,Beale Afb,39.136089,-121.436567,113,-8,A,America/Los_Angeles,california
BAD,Barksdale Afb,32.50182,-93.662674,166,-6,A,America/Chicago,louisiana
BAF,Barnes Municipal,42.1579472,-72.715875,270,-5,A,America/New_York,massachusetts
BBX,Wings Field,40.1375,-75.265,302,-5,A,America/New_York,tennessee
BCE,Bryce Canyon,37.706444,-112.145806,7590,-7,A,America/Denver,utah
BCT,Boca Raton,26.3785,-80.107694,13,-5,A,America/New_York,florida
BDE,Baudette Intl,48.728444,-94.612222,1086,-6,A,America/Chicago,minnesota
BDL,Bradley Intl,41.938889,-72.683222,173,-5,A,America/New_York,connecticut
BDR,Igor I Sikorsky Mem,41.163472,-73.126167,9,-5,A,America/New_York,connecticut
BEC,Beech Factory Airport,37.6939167,-97.2149167,1409,-6,A,America/Chicago,kansas
BED,Laurence G Hanscom Fld,42.469953,-71.289031,133,-5,A,America/New_York,massachusetts
BEH,Southwest Michigan Regional Airport,42.1285833,-86.4285,643,-5,A,America/New_York,michigan
BET,Bethel,60.779778,-161.838,121,-9,A,America/Anchorage,alaska
BFD,Bradford Regional Airport,41.8031,-78.6401,2143,-5,A,America/New_York,pennsylvania
BFF,Western Nebraska Regional Airport,41.874,-103.596,3967,-7,A,America/Denver,nebraska
BFI,Boeing Fld King Co Intl,47.53,-122.301947,21,-8,A,America/Los_Angeles,washington
BFL,Meadows Fld,35.433598,-119.05677,507,-8,A,America/Los_Angeles,california
BFM,Mobile Downtown,30.626783,-88.068092,26,-6,A,America/Chicago,alabama
BFP,Beaver Falls,40.7724722,-80.3914444,1253,-5,A,America/New_York,pennsylvania
BFT,Beaufort,32.477411,-80.723161,37,-5,A,America/New_York,south carolina
BGE,Decatur County Industrial Air Park,30.9715981,-84.6369278,141,-5,A,America/New_York,georgia
BGM,Greater Binghamton Edwin A Link Fld,42.208689,-75.979839,1636,-5,A,America/New_York,new york
BGR,Bangor Intl,44.807444,-68.828139,192,-5,A,America/New_York,maine
BHB,Hancock County - Bar Harbor,44.4497689,-68.3615653,83,-5,A,America/New_York,maine
BHM,Birmingham Intl,33.562942,-86.75355,644,-6,A,America/Chicago,alabama
BID,Block Island State Airport,41.168056,-71.577778,108,-5,A,America/New_York,rhode island
BIF,Biggs Aaf,31.849528,-106.380039,3948,-7,A,America/Denver,texas
BIG,Allen Aaf,63.994547,-145.721642,1291,-9,A,America/Anchorage,alaska
BIL,Billings Logan International Airport,45.80921,-108.537654,3652,-7,A,America/Denver,montana
BIS,Bismarck Municipal Airport,46.775842,-100.757931,1661,-6,A,America/Chicago,north dakota
