Longitud,Latitud,Tipo
-116.209,33.7711,A
-116.209,33.7711,A
-115.773,33.4211,A
-115.773,33.4211,A
-115.773,33.4211,A
-115.773,33.4211,A
-115.596,33.2366,A
-115.596,33.2366,A
-115.717,33.1297,A
-115.717,33.1297,A
-115.594,33.0402,A
-115.594,33.0402,A
-115.508,32.9581,A
-115.508,32.9581,A
-115.581,32.876,A
-115.581,32.876,A
-115.412,32.71,A
-115.412,32.71,A
-115.212,32.5118,A
-115.212,32.5118,A
-115.33,32.4183,A
-115.33,32.4183,A
-115.085,32.2359,A
-115.085,32.2359,A
-114.765,31.9952,A
-114.765,31.9952,A
-114.522,31.786,A
-114.522,31.786,A
-114.332,31.6016,A
-114.332,31.6016,A
-114.207,31.4585,A
-114.207,31.4585,A
-114.118,31.3557,A
-114.118,31.3557,A
-114.33,31.1936,A
-114.33,31.1936,A
-114.439,31.0972,A
-114.439,31.0972,A
-114.303,30.9123,A
-114.303,30.9123,A
-114.129,30.6797,A
-114.129,30.6797,A
-113.986,30.5134,A
-113.986,30.5134,A
-113.807,30.3135,A
-113.807,30.3135,A
-114.041,30.1205,A
-114.041,30.1205,A
-113.909,29.982,A
-113.909,29.982,A
-113.758,29.8344,A
-113.758,29.8344,A
-113.87,29.7298,A
-113.87,29.7298,A
-113.969,29.6458,A
-113.969,29.6458,A
-113.775,29.4397,A
-113.775,29.4397,A
-113.521,29.2054,A
-113.521,29.2054,A
-113.281,29.0084,A
-113.281,29.0084,A
-113.339,28.9498,A
-113.339,28.9498,A
-113.087,28.7147,A
-113.087,28.7147,A
-112.812,28.4987,A
-112.812,28.4987,A
-112.589,28.3223,A
-112.589,28.3223,A
-112.321,28.1249,A
-112.321,28.1249,A
-112.015,27.906,A
-112.015,27.906,A
-111.711,27.6935,A
-111.711,27.6935,A
-111.506,27.57,A
-111.506,27.57,A
-111.382,27.4969,A
-111.382,27.4969,A
-111.569,27.2152,A
-111.569,27.2152,A
-111.373,27.1053,A
-111.373,27.1053,A
-111.506,26.9267,A
-111.506,26.9267,A
-111.228,26.7234,A
-111.228,26.7234,A
-110.957,26.535,A
-110.957,26.535,A
-110.758,26.4159,A
-110.758,26.4159,A
-110.68,26.3605,A
-110.68,26.3605,A
-110.778,26.2249,A
-110.778,26.2249,A
-110.572,26.0661,A
-110.572,26.0661,A
-110.291,25.8895,A
-110.291,25.8895,A
-110.024,25.7063,A
-110.024,25.7063,A
-109.872,25.6073,A
-109.872,25.6073,A
-109.806,25.5567,A
-109.806,25.5567,A
-110.007,25.3392,A
-110.007,25.3392,A
-109.788,25.1797,A
-109.788,25.1797,A
-109.591,25.0163,A
-109.591,25.0163,A
-109.35,24.8568,A
